Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
2021-11-24,AL,Pancreatina,10ui - Não Especificado,22320,24775.2,LAI
2022-03-18,AL,Pancreatina,10ui - Não Especificado,48750,54112.50000000001,LAI
2023-06-07,AL,Pancreatina,10ui - Não Especificado,36300,44649,LAI
2024-03-15,AL,Pancreatina,10ui - Não Especificado,59720,77636,LAI
2021-12-07,AL,Pancreatina,25ui - Não Especificado,85542,190758.66,LAI
2022-03-18,AL,Pancreatina,25ui - Não Especificado,84375,188156.25,LAI
2022-07-13,AL,Pancreatina,25ui - Não Especificado,221919,494879.37,LAI
2023-06-07,AL,Pancreatina,25ui - Não Especificado,66030,163754.4,LAI
2023-11-23,AL,Pancreatina,25ui - Não Especificado,169104,443052.48000000004,LAI
2024-03-18,AL,Pancreatina,25ui - Não Especificado,522186,1368127.32,LAI
2024-03-15,AL,Pancreatina,25ui - Não Especificado,30534,79999.08,LAI
2025-04-07,AL,Pancreatina,25ui - Não Especificado,489629,1336687.17,LAI
NA,AL,Penicilamina,250mg - Comprimido/Cápsula,NA,NA,LAI
2023-05-08,AL,Risperidona,1mg - Comprimido/Cápsula,151450,1263093,LAI
2023-12-07,AL,Risperidona,1mg - Comprimido/Cápsula,5235,39681.3,LAI
2023-11-29,AL,Risperidona,1mg - Comprimido/Cápsula,1745,18427.2,LAI
2024-01-29,AL,Risperidona,1mg - Comprimido/Cápsula,2858,22320.98,LAI
2024-03-07,AL,Risperidona,1mg - Comprimido/Cápsula,952,13404.16,LAI
2025-04-09,AL,Risperidona,1mg - Comprimido/Cápsula,2261,12028.52,LAI
2025-04-25,AL,Risperidona,1mg - Comprimido/Cápsula,753,9299.55,LAI
2025-10-23,AL,Risperidona,1mg - Comprimido/Cápsula,1736,22272.88,LAI
2021-10-13,AL,Risperidona,1mg - Comprimido/Cápsula,109842,8787.36,LAI
2021-08-05,AL,Risperidona,1mg - Comprimido/Cápsula,54906,3843.4200000000005,LAI
2023-11-23,AL,Risperidona,1mg - Comprimido/Cápsula,158430,20595.9,LAI
2025-09-09,AL,Risperidona,1mg - Comprimido/Cápsula,77153,9258.359999999999,LAI
2021-10-13,AL,Risperidona,2mg - Comprimido/Cápsula,274530,30198.3,LAI
2021-08-05,AL,Risperidona,2mg - Comprimido/Cápsula,137250,10980,LAI
2023-05-08,AL,Risperidona,2mg - Comprimido/Cápsula,309840,40279.200000000004,LAI
2025-09-09,AL,Risperidona,2mg - Comprimido/Cápsula,154231,18507.719999999998,LAI
NA,AL,Risperidona,3mg - Comprimido/Cápsula,NA,NA,LAI
2022-05-02,AL,Sacarato De Hidroxido Ferrico,20mg/ml - Injetável,59538,619195.2000000001,LAI
2022-02-17,AL,Sacarato De Hidroxido Ferrico,20mg/ml - Injetável,29754,201434.58,LAI
2023-03-28,AL,Sacubitril Valsartana Sodica Hidratada,50mg - Não Especificado,936,3538.08,LAI
2025-04-10,AL,Sacubitril Valsartana Sodica Hidratada,50mg - Não Especificado,33228,136234.8,LAI
2025-04-10,AL,Sacubitril Valsartana Sodica Hidratada,100mg - Comprimido/Cápsula,48266,197890.59999999998,LAI
2025-04-10,AL,Sacubitril Valsartana Sodica Hidratada,200mg - Comprimido/Cápsula,20608,84492.79999999999,LAI
NA,AL,Selexipague,400mcg - Comprimido/Cápsula,NA,NA,LAI
