"","Estado","Medicamento","Apresentacao","Data","Valor","Quantidade"
"124","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2022-07-01,155739,150
"125","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2022-08-10,155739,150
"126","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2022-09-08,155739,150
"127","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2022-11-07,155739,150
"128","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2021-09-08,160828.5,150
"129","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2021-09-28,160828.5,150
"130","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2021-10-21,160828.5,150
"131","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2025-06-02,202650,150
"132","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2025-07-17,202650,150
"133","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2024-03-05,253988,188
"134","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2024-10-29,270200,200
"135","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2023-09-04,313432,232
"136","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2023-06-26,388545,250
"137","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2024-11-08,405300,300
"138","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2022-10-14,467217,450
"139","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2021-08-09,7157.85,15
"140","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2022-05-04,34384.77,69
"141","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2023-10-04,42358.05,85
"142","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2022-05-04,55314.63,111
"143","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2025-10-14,62490,120
"144","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2023-10-05,68271.21,137
"145","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2021-08-09,107367.75,225
