Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
2024-10-29,ES,Rivastigmina,Não Especificado,3000,35388,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-03-27,CE,Octreotida Acetato,10mg - Injetável,24,82264.56,PNCP
2025-03-27,CE,Octreotida Acetato,10mg - Injetável,24,82264.56,PNCP
2025-02-17,CE,Octreotida Acetato,10mg - Injetável,535,1833812.38,PNCP
2025-02-17,CE,Octreotida Acetato,10mg - Injetável,535,1833812.38,PNCP
2025-01-24,CE,Octreotida Acetato,20mg - Injetável,15,79095,PNCP
2025-01-24,CE,Octreotida Acetato,20mg - Injetável,15,79095,PNCP
2024-10-29,ES,Octreotida,Não Especificado,250,1779625,PNCP
2024-10-29,ES,Octreotida Acetato,Não Especificado,250,1779625,PNCP
2024-10-29,ES,Rivastigmina,Não Especificado,3500,49314.65,PNCP
2024-10-29,ES,Rivastigmina,Não Especificado,3000,35388,PNCP
2024-07-11,ES,Octreotida,Não Especificado,120,695820.4500000001,PNCP
2024-07-11,ES,Octreotida Acetato,Não Especificado,120,695820.4500000001,PNCP
2025-02-04,CE,Octreotida Acetato,30mg - Injetável,765,5445652.5,PNCP
2025-02-04,CE,Octreotida Acetato,30mg - Injetável,765,5445652.5,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-03-27,CE,Octreotida Acetato,10mg - Injetável,24,82264.56,PNCP
2025-03-27,CE,Octreotida Acetato,10mg - Injetável,24,82264.56,PNCP
2025-02-17,CE,Octreotida Acetato,10mg - Injetável,535,1833812.38,PNCP
2025-02-17,CE,Octreotida Acetato,10mg - Injetável,535,1833812.38,PNCP
2025-01-24,CE,Octreotida Acetato,20mg - Injetável,15,79095,PNCP
2025-01-24,CE,Octreotida Acetato,20mg - Injetável,15,79095,PNCP
2024-10-29,ES,Octreotida,Não Especificado,250,1779625,PNCP
2024-10-29,ES,Octreotida Acetato,Não Especificado,250,1779625,PNCP
2024-10-29,ES,Rivastigmina,Não Especificado,3500,49314.65,PNCP
2024-10-29,ES,Rivastigmina,Não Especificado,3000,35388,PNCP
2024-07-11,ES,Octreotida,Não Especificado,120,695820.4500000001,PNCP
2024-07-11,ES,Octreotida Acetato,Não Especificado,120,695820.4500000001,PNCP
2025-02-04,CE,Octreotida Acetato,30mg - Injetável,765,5445652.5,PNCP
2025-02-04,CE,Octreotida Acetato,30mg - Injetável,765,5445652.5,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-03-27,CE,Octreotida Acetato,10mg - Injetável,24,82264.56,PNCP
2025-03-27,CE,Octreotida Acetato,10mg - Injetável,24,82264.56,PNCP
2025-02-17,CE,Octreotida Acetato,10mg - Injetável,535,1833812.38,PNCP
2025-02-17,CE,Octreotida Acetato,10mg - Injetável,535,1833812.38,PNCP
2025-01-24,CE,Octreotida Acetato,20mg - Injetável,15,79095,PNCP
2025-01-24,CE,Octreotida Acetato,20mg - Injetável,15,79095,PNCP
2024-10-29,ES,Octreotida,Não Especificado,250,1779625,PNCP
2024-10-29,ES,Octreotida Acetato,Não Especificado,250,1779625,PNCP
2024-10-29,ES,Rivastigmina,Não Especificado,3500,49314.65,PNCP
2024-10-29,ES,Rivastigmina,Não Especificado,3000,35388,PNCP
2024-07-11,ES,Octreotida,Não Especificado,120,695820.4500000001,PNCP
2024-07-11,ES,Octreotida Acetato,Não Especificado,120,695820.4500000001,PNCP
2024-11-21,CE,Octreotida Acetato,10mg - Injetável,40,137107.6,PNCP
2024-11-21,CE,Octreotida Acetato,10mg - Injetável,40,137107.6,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-03-27,CE,Octreotida Acetato,10mg - Injetável,24,82264.56,PNCP
2025-03-27,CE,Octreotida Acetato,10mg - Injetável,24,82264.56,PNCP
2025-02-17,CE,Octreotida Acetato,10mg - Injetável,535,1833812.38,PNCP
2025-02-17,CE,Octreotida Acetato,10mg - Injetável,535,1833812.38,PNCP
2025-01-24,CE,Octreotida Acetato,20mg - Injetável,15,79095,PNCP
2025-01-24,CE,Octreotida Acetato,20mg - Injetável,15,79095,PNCP
2024-10-29,ES,Octreotida,Não Especificado,250,1779625,PNCP
2024-10-29,ES,Octreotida Acetato,Não Especificado,250,1779625,PNCP
2024-10-29,ES,Rivastigmina,Não Especificado,3500,49314.65,PNCP
2024-10-29,ES,Rivastigmina,Não Especificado,3000,35388,PNCP
2024-07-11,ES,Octreotida,Não Especificado,120,695820.4500000001,PNCP
2024-07-11,ES,Octreotida Acetato,Não Especificado,120,695820.4500000001,PNCP
2023-09-25,CE,Octreotida Acetato,20mg - Injetável,258,1301849.94,PNCP
2023-09-25,CE,Octreotida Acetato,20mg - Injetável,258,1301849.94,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida,Não Especificado,270,2530110.6,PNCP
2025-05-28,SP,Octreotida Acetato,Não Especificado,270,2530110.6,PNCP
2024-09-11,SP,Acido Ursodesoxicolico,Não Especificado,14900,39187,PNCP
2024-10-18,MG,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,245290,403502.05,PNCP
